"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS"
"USC00134101","IOWA CITY, IA US","41.6093","-91.5051","195.1","2017-01-01","0.00","0.0","0","35","13","15"
"USC00134101","IOWA CITY, IA US","41.6093","-91.5051","195.1","2017-01-02","0.00","0.0","0","38","15","31"
"USC00134101","IOWA CITY, IA US","41.6093","-91.5051","195.1","2017-01-03","0.08","0.0","0","37","31","35"
"USC00134101","IOWA CITY, IA US","41.6093","-91.5051","195.1","2017-01-04","0.00","0.0","0","35","7","7"
"USC00134101","IOWA CITY, IA US","41.6093","-91.5051","195.1","2017-01-05","0.00","0.0","0","15","6","7"
"USC00134101","IOWA CITY, IA US","41.6093","-91.5051","195.1","2017-01-06","0.00","0.0","0","14","-1","-1"
"USC00134101","IOWA CITY, IA US","41.6093","-91.5051","195.1","2017-01-07","0.00","0.0","0","10","-1","9"
"USC00134101","IOWA CITY, IA US","41.6093","-91.5051","195.1","2017-01-08","0.00","0.0","0","20","-2","-2"
"USC00134101","IOWA CITY, IA US","41.6093","-91.5051","195.1","2017-01-09","0.00","0.0","0","24","-3","13"
"USC00134101","IOWA CITY, IA US","41.6093","-91.5051","195.1","2017-01-10","0.00","0.0","0","39","13","38"
"USC00134101","IOWA CITY, IA US","41.6093","-91.5051","195.1","2017-01-11","0.00","0.0","0","47","23","27"
"USC00134101","IOWA CITY, IA US","41.6093","-91.5051","195.1","2017-01-12","0.05","0.0","0","41","17","17"
"USC00134101","IOWA CITY, IA US","41.6093","-91.5051","195.1","2017-01-13","0.00","0.0","0","24","12","13"
"USC00134101","IOWA CITY, IA US","41.6093","-91.5051","195.1","2017-01-14","0.00","0.0","0","24","12","22"
"USC00134101","IOWA CITY, IA US","41.6093","-91.5051","195.1","2017-01-15","0.00","0.0","0","33","17","24"
"USC00134101","IOWA CITY, IA US","41.6093","-91.5051","195.1","2017-01-16","0.06","0.0","0","32","24","31"
"USC00134101","IOWA CITY, IA US","41.6093","-91.5051","195.1","2017-01-17","0.80","0.0","0","36","31","34"
"USC00134101","IOWA CITY, IA US","41.6093","-91.5051","195.1","2017-01-18","0.00","0.0","0","36","31","31"
"USC00134101","IOWA CITY, IA US","41.6093","-91.5051","195.1","2017-01-19","0.00","0.0","0","42","27","28"
"USC00134101","IOWA CITY, IA US","41.6093","-91.5051","195.1","2017-01-20","0.24","0.0","0","38","27","35"
"USC00134101","IOWA CITY, IA US","41.6093","-91.5051","195.1","2017-01-21","0.00","0.0","0","45","35","43"
"USC00134101","IOWA CITY, IA US","41.6093","-91.5051","195.1","2017-01-22","0.00","0.0","0","45","28","31"
"USC00134101","IOWA CITY, IA US","41.6093","-91.5051","195.1","2017-01-23","0.00","0.0","0","38","31","35"
"USC00134101","IOWA CITY, IA US","41.6093","-91.5051","195.1","2017-01-24","0.00","0.0","0","39","32","32"
"USC00134101","IOWA CITY, IA US","41.6093","-91.5051","195.1","2017-01-25","0.02","0.0","0","37","32","36"
"USC00134101","IOWA CITY, IA US","41.6093","-91.5051","195.1","2017-01-26","0.08","0.2","0","37","29","29"
"USC00134101","IOWA CITY, IA US","41.6093","-91.5051","195.1","2017-01-27","0.00","0.0","0","32","22","23"
"USC00134101","IOWA CITY, IA US","41.6093","-91.5051","195.1","2017-01-28","0.00","0.0","0","31","23","23"
"USC00134101","IOWA CITY, IA US","41.6093","-91.5051","195.1","2017-01-29","0.00","0.0","0","33","23","27"
"USC00134101","IOWA CITY, IA US","41.6093","-91.5051","195.1","2017-01-30","0.00","0.0","0","33","13","19"
"USC00134101","IOWA CITY, IA US","41.6093","-91.5051","195.1","2017-01-31","0.00","0.0","0","47","19","36"
"USC00134101","IOWA CITY, IA US","41.6093","-91.5051","195.1","2017-02-01","0.00","0.0","0","41","29","29"
"USC00134101","IOWA CITY, IA US","41.6093","-91.5051","195.1","2017-02-02","0.00","0.0","0","36","14","15"
